Name,Quality,Ranks Dropped In,Class,Faction,ATK,HP,DEF, Basic Skill, Ultimate Skill
Melo,Common,1,Warrior,Araban,27,254,45,Melo Basic,Melo Ultimate
Arupe,Common,1,Mage,Kaline,45,156,40,Arupe Basic,Arupe Ultimate
Valcher,Common,1,Hunter,Merliot,36,161,43,Valcher Basic,Valcher Ultimate
Byte,Common,1,Warrior,Otobi,29,227,46,Byte Basic,Byte Ultimate
Qurin,Common,2,Hunter,Araban,49,251,53,Qurin Basic,Qurin Ultimate
Chekla,Common,2,Cleric,Kaline,45,265,56,Chekla Basic,Chekla Ultimate
Germund,Common,2,Mage,Merliot,56,232,54,Germund Basic,Germund Ultimate
Scratch,Common,2,Assassin,Otobi,64,206,49,Scratch Basic,Scratch Ultimate
Kel'mut,Common,3,Assassin,Araban,81,289,53,Kel'mut Basic,Kel'mut Ultimate
Toburo,Common,3,Warrior,Kaline,51,438,61,Toburo Basic,Toburo Ultimate
Dafnet,Common,3,Cleric,Merliot,59,394,58,Dafnet Basic,Dafnet Ultimate
Hash,Common,3,Hunter,Otobi,70,325,57,Hash Basic,Hash Ultimate
Obure,Rare,4,Cleric,Araban,62,542,66,Obure Basic,Obure Ultimate
Zil'kan,Rare,4/5,Hunter,Araban,72,481,65,Zil'Kan Basic,Zil'Kan Ultimate
Fetra,Rare,4/5,Assassin,Araban,86,365,64,Fetra Basic,Fetra Ultimate
Kampako,Rare,4/5,Warrior,Kaline,64,549,67,Kampako Basic,Kampako Ultimate
Zanochi,Rare,4/5,Hunter,Kaline,69,471,65,Zanochi Basic,Zanochi Ultimate
Kura'bara,Rare,4/5,Mage,Kaline,82,442,67,Kura'Bara Basic,Kura'Bara Ultimate
Boy Kampf,Rare,4/5,Hunter,Merliot,86,431,64,Boy Kampf Basic,Boy Kampf Ultimate
Romulo,Rare,4/5,Assassin,Merliot,82,425,59,Romulo Basic,Romulo Ultimate
Grimstein,Rare,4/5,Warrior,Merliot,45,615,68,Grimstein Basic,Grimstein Ultimate
Elix1r,Rare,4/5,Cleric,Otobi,70,519,65,Elix1r Basic,Elix1r Ultimate
Rust,Rare,4/5,Assassin,Otobi,91,394,62,Rust Basic,Rust Ultimate
Jayson,Rare,4/5,Mage,Otobi,73,482,63,Jayson Basic,Jayson Ultimate
Muflus,Epic,5,Warrior,Araban,63,621,78,Muflus Basic,Muflus Ultimate
Otix,Epic,5,Mage,Araban,91,409,73,Otix Basic,Otix Ultimate
Uma,Epic,5,Assassin,Kaline,98,413,68,Uma Basic,Uma Ultimate
Uren,Epic,5,Cleric,Kaline,77,598,71,Uren Basic,Uren Ultimate
D'agna,Epic,5,Cleric,Merliot,84,556,65,D'Agna Basic,D'Agna Ultimate
Valtimer,Epic,5,Mage,Merliot,93,519,67,Valtimer Basic,Valtimer Ultimate
H4ck,Epic,5,Hunter,Otobi,90,515,66,H4ck Basic,H4ck Ultimate
Kenzu,Epic,5,Warrior,Otobi,92,510,71,Kenzu Basic,Kenzu Ultimate
